Detailed Statistics Departures  
Origin Airport: Richmond, VA: Richmond International (RIC)
Airline: Southwest Airlines Co. (WN)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","01/18/2022","0125","N8814K","ATL","05:55","05:48","120","94","-7","06:01","13","0","0","0","0","0"
"WN","01/18/2022","1623","N732SW","DEN","12:50","12:40","265","239","-10","12:51","11","0","0","0","0","0"
"WN","01/18/2022","2147","N8697C","ATL","16:55","16:49","110","96","-6","17:03","14","0","0","0","0","0"
"WN","01/18/2022","2352","N239WN","MDW","18:00","17:47","130","138","-13","17:59","12","0","0","0","0","0"
"WN","01/19/2022","0125","N8651A","ATL","05:55","05:51","120","101","-4","06:10","19","0","0","0","0","0"
"WN","01/19/2022","1623","N7856A","DEN","12:50","12:39","265","248","-11","12:59","20","0","0","0","0","0"
"WN","01/19/2022","2147","N8582Z","ATL","16:55","16:52","110","94","-3","17:06","14","0","0","0","0","0"
"WN","01/19/2022","2352","N948WN","MDW","18:00","17:50","130","117","-10","18:02","12","0","0","0","0","0"
"WN","01/20/2022","0125","N8619F","ATL","05:55","05:54","120","103","-1","06:03","9","0","0","0","0","0"
"WN","01/20/2022","1623","N442WN","DEN","12:50","12:44","265","233","-6","12:56","12","0","0","0","0","0"
"WN","01/20/2022","2147","N8320J","ATL","16:55","16:51","110","128","-4","17:27","36","0","0","0","0","0"
"WN","01/20/2022","2352","N417WN","MDW","18:00","17:52","130","137","-8","18:20","28","0","0","0","0","0"
"WN","01/21/2022","0125","N8670A","ATL","05:55","06:00","120","125","5","06:25","25","0","0","0","0","0"
"WN","01/21/2022","1623","N947WN","DEN","12:50","00:00","265","0","0","00:00","0","0","0","0","0","0"
"WN","01/21/2022","2147","N8553W","ATL","16:55","16:53","110","125","-2","17:16","23","0","0","0","0","0"
"WN","01/21/2022","2352","N947WN","MDW","18:00","17:54","130","116","-6","18:06","12","0","0","0","0","0"
"WN","01/22/2022","1828","N8614M","ATL","16:05","15:58","110","90","-7","16:08","10","0","0","0","0","0"
"WN","01/22/2022","3027","N7839A","TPA","13:15","13:06","135","131","-9","13:17","11","0","0","0","0","0"
"WN","01/22/2022","3389","N8633A","ATL","06:20","06:20","120","128","0","07:04","44","0","0","0","0","0"
"WN","01/22/2022","3672","N8637A","MDW","17:15","16:57","140","115","-18","17:08","11","0","0","0","0","0"
"WN","01/23/2022","0125","N8608N","ATL","05:55","05:53","120","108","-2","06:17","24","0","0","0","0","0"
"WN","01/23/2022","1623","N7839A","DEN","12:50","12:49","265","244","-1","12:59","10","0","0","0","0","0"
"WN","01/23/2022","2147","N8724J","ATL","16:55","16:45","110","98","-10","17:00","15","0","0","0","0","0"
"WN","01/23/2022","2352","N902WN","MDW","18:00","17:57","130","121","-3","18:11","14","0","0","0","0","0"
"WN","01/24/2022","0125","N8617E","ATL","05:55","05:51","120","109","-4","06:15","24","0","0","0","0","0"
"WN","01/24/2022","1623","N7847A","DEN","12:50","12:48","265","245","-2","13:02","14","0","0","0","0","0"
"WN","01/24/2022","2147","N8816Q","ATL","16:55","16:45","110","92","-10","16:55","10","0","0","0","0","0"
"WN","01/24/2022","2352","N491WN","MDW","18:00","17:53","130","117","-7","18:03","10","0","0","0","0","0"
"WN","01/25/2022","0125","N8685B","ATL","05:55","05:49","120","101","-6","06:02","13","0","0","0","0","0"
"WN","01/25/2022","1623","N7811F","DEN","12:50","12:44","265","251","-6","12:53","9","0","0","0","0","0"
"WN","01/25/2022","2147","N8809L","ATL","16:55","17:38","110","96","43","17:47","9","0","0","0","0","29"
"WN","01/25/2022","2352","N967WN","MDW","18:00","17:50","130","129","-10","17:58","8","0","0","0","0","0"
"WN","01/26/2022","0125","N8698B","ATL","05:55","05:52","120","95","-3","05:59","7","0","0","0","0","0"
"WN","01/26/2022","1623","N7875A","DEN","12:50","12:45","265","225","-5","12:54","9","0","0","0","0","0"
"WN","01/26/2022","2147","N8544Z","ATL","16:55","16:55","110","102","0","17:09","14","0","0","0","0","0"
"WN","01/26/2022","2352","N401WN","MDW","18:00","17:56","130","116","-4","18:07","11","0","0","0","0","0"
"WN","01/27/2022","0125","N8655D","ATL","05:55","07:35","120","104","100","07:50","15","0","84","0","0","0"
"WN","01/27/2022","1623","N7888A","DEN","12:50","12:49","265","255","-1","13:02","13","0","0","0","0","0"
"WN","01/27/2022","2147","N8684F","ATL","16:55","17:05","110","97","10","17:15","10","0","0","0","0","0"
"WN","01/27/2022","2352","N463WN","MDW","18:00","17:52","130","122","-8","18:08","16","0","0","0","0","0"
"WN","01/28/2022","0125","N8711Q","ATL","05:55","06:31","120","99","36","06:43","12","15","0","0","0","0"
"WN","01/28/2022","1623","N7829B","DEN","12:50","12:45","265","226","-5","12:57","12","0","0","0","0","0"
"WN","01/28/2022","2147","N8813Q","ATL","16:55","16:50","110","0","-5","16:58","8","0","0","0","0","0"
"WN","01/28/2022","2352","N434WN","MDW","18:00","17:49","130","109","-11","17:59","10","0","0","0","0","0"
"WN","01/29/2022","1828","N8504G","ATL","16:05","16:00","110","87","-5","16:11","11","0","0","0","0","0"
"WN","01/29/2022","3027","N227WN","TPA","13:15","13:10","135","129","-5","13:22","12","0","0","0","0","0"
"WN","01/29/2022","3389","N8536Z","ATL","06:20","06:16","120","81","-4","06:25","9","0","0","0","0","0"
"WN","01/29/2022","3672","N8643A","MDW","17:15","17:05","140","109","-10","17:12","7","0","0","0","0","0"
"WN","01/30/2022","0125","N8612K","ATL","05:55","05:52","120","95","-3","06:01","9","0","0","0","0","0"
"WN","01/30/2022","1623","N464WN","DEN","12:50","13:23","265","220","33","13:36","13","0","0","0","0","0"
"WN","01/30/2022","2147","N8668A","ATL","16:55","16:49","110","90","-6","16:59","10","0","0","0","0","0"
"WN","01/30/2022","2352","N7822A","MDW","18:00","17:51","130","167","-9","18:03","12","0","0","28","0","0"
"WN","01/31/2022","0125","N8692F","ATL","05:55","05:47","120","109","-8","06:15","28","0","0","0","0","0"
"WN","01/31/2022","1623","N475WN","DEN","12:50","12:48","265","227","-2","12:59","11","0","0","0","0","0"
"WN","01/31/2022","2147","N8801Q","ATL","16:55","16:55","110","90","0","17:10","15","0","0","0","0","0"
"WN","01/31/2022","2352","N7729A","MDW","18:00","17:49","130","120","-11","18:02","13","0","0","0","0","0"
"WN","02/01/2022","0125","N8545V","ATL","05:55","05:49","120","102","-6","06:09","20","0","0","0","0","0"
"WN","02/01/2022","1623","N465WN","DEN","12:50","12:41","265","233","-9","12:54","13","0","0","0","0","0"
"WN","02/01/2022","2147","N8548P","ATL","16:55","16:49","110","102","-6","17:04","15","0","0","0","0","0"
"WN","02/01/2022","2352","N729SW","MDW","18:00","17:56","130","116","-4","18:09","13","0","0","0","0","0"
"WN","02/02/2022","0125","N8652B","ATL","05:55","05:53","120","104","-2","06:16","23","0","0","0","0","0"
"WN","02/02/2022","1623","N900WN","DEN","12:50","12:42","265","252","-8","12:52","10","0","0","0","0","0"
"WN","02/02/2022","2147","N8669B","ATL","16:55","17:02","110","99","7","17:15","13","0","0","0","0","0"
"WN","02/02/2022","2352","","MDW","18:00","00:00","130","0","0","00:00","0","0","0","0","0","0"
"WN","02/03/2022","0125","N8807L","ATL","05:55","05:53","120","102","-2","06:06","13","0","0","0","0","0"
"WN","02/03/2022","1623","N8572X","DEN","12:50","12:44","265","226","-6","12:52","8","0","0","0","0","0"
"WN","02/03/2022","2147","N8615E","ATL","16:55","16:48","110","110","-7","17:04","16","0","0","0","0","0"
"WN","02/03/2022","2352","N7751A","MDW","18:00","17:54","130","123","-6","18:07","13","0","0","0","0","0"
"WN","02/04/2022","0125","N8807L","ATL","05:55","05:56","120","103","1","06:08","12","0","0","0","0","0"
"WN","02/04/2022","1623","N228WN","DEN","12:50","12:44","265","234","-6","12:52","8","0","0","0","0","0"
"WN","02/04/2022","2147","N8549Z","ATL","16:55","17:04","110","106","9","17:20","16","0","0","0","0","0"
"WN","02/04/2022","2352","N7723E","MDW","18:00","17:52","130","154","-8","18:00","8","0","0","16","0","0"
"WN","02/05/2022","1828","N8529Z","ATL","16:05","15:55","110","89","-10","16:07","12","0","0","0","0","0"
"WN","02/05/2022","3027","N488WN","TPA","13:15","13:14","135","139","-1","13:31","17","0","0","0","0","0"
"WN","02/05/2022","3389","N8561Z","ATL","06:20","06:20","120","99","0","06:30","10","0","0","0","0","0"
"WN","02/05/2022","3672","N8642E","MDW","17:15","17:07","140","113","-8","17:14","7","0","0","0","0","0"
"WN","02/06/2022","0125","N8660A","ATL","05:55","05:55","120","114","0","06:27","32","0","0","0","0","0"
"WN","02/06/2022","1623","N788SA","DEN","12:50","12:47","265","221","-3","12:58","11","0","0","0","0","0"
"WN","02/06/2022","2147","N8513F","ATL","16:55","16:52","110","95","-3","17:03","11","0","0","0","0","0"
"WN","02/06/2022","2352","N490WN","MDW","18:00","17:56","130","121","-4","18:08","12","0","0","0","0","0"
"WN","02/07/2022","0125","N8722L","ATL","05:55","05:56","120","101","1","06:06","10","0","0","0","0","0"
"WN","02/07/2022","1623","N944WN","DEN","12:50","12:50","265","225","0","13:03","13","0","0","0","0","0"
"WN","02/07/2022","2147","N8541W","ATL","16:55","16:56","110","96","1","17:05","9","0","0","0","0","0"
"WN","02/07/2022","2352","N404WN","MDW","18:00","17:55","130","127","-5","18:02","7","0","0","0","0","0"
"WN","02/08/2022","0125","N8697C","ATL","05:55","05:51","120","119","-4","06:13","22","0","0","0","0","0"
"WN","02/08/2022","1623","N488WN","DEN","12:50","12:45","265","225","-5","12:53","8","0","0","0","0","0"
"WN","02/08/2022","2147","N8573Z","ATL","16:55","16:53","110","93","-2","17:08","15","0","0","0","0","0"
"WN","02/08/2022","2352","N7830A","MDW","18:00","17:54","130","115","-6","18:04","10","0","0","0","0","0"
"WN","02/09/2022","0125","N765SW","ATL","05:55","05:54","120","102","-1","06:19","25","0","0","0","0","0"
