Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,1/31/22,1643,N838UA,DEN,8:00,7:50,261,230,-10,8:04,14,0,0,0,0,0
UA,1/31/22,1979,N873UA,DEN,15:50,16:02,260,237,12,16:18,16,0,0,0,0,0
UA,1/31/22,2234,N488UA,ORD,6:45,6:45,139,156,0,7:18,33,0,0,17,0,0
UA,2/1/22,1643,N413UA,DEN,8:00,7:51,261,261,-9,8:26,35,0,0,0,0,0
UA,2/1/22,1979,N879UA,DEN,15:50,15:36,260,280,-14,15:49,13,0,0,0,0,0
UA,2/1/22,2234,N425UA,ORD,6:45,6:40,139,150,-5,7:26,46,0,0,0,0,0
UA,2/2/22,1643,N833UA,DEN,8:00,8:02,261,262,2,8:30,28,0,0,0,0,0
UA,2/2/22,1979,N853UA,DEN,15:50,16:26,260,257,36,16:40,14,0,0,0,0,33
UA,2/2/22,2234,N469UA,ORD,6:45,6:41,139,225,-4,8:05,84,0,0,82,0,0
UA,2/3/22,1643,N815UA,DEN,8:00,8:09,261,249,9,8:21,12,0,0,0,0,0
UA,2/3/22,1979,N853UA,DEN,15:50,15:53,260,257,3,16:03,10,0,0,0,0,0
UA,2/3/22,2234,N451UA,ORD,6:45,6:42,139,130,-3,6:53,11,0,0,0,0,0
UA,2/4/22,1643,N897UA,DEN,8:00,8:20,261,246,20,8:38,18,0,0,0,0,0
UA,2/4/22,1979,N894UA,DEN,15:50,16:13,260,246,23,16:30,17,0,0,0,0,0
UA,2/4/22,2234,N895UA,ORD,6:45,6:41,139,127,-4,6:55,14,0,0,0,0,0
UA,2/5/22,1643,N827UA,DEN,8:00,8:28,261,247,28,8:46,18,0,0,0,0,0
UA,2/5/22,1979,N489UA,DEN,15:50,16:04,260,246,14,16:20,16,0,0,0,0,0
UA,2/5/22,2234,N1902U,ORD,6:45,6:46,139,127,1,7:00,14,0,0,0,0,0
UA,2/6/22,1643,N882UA,DEN,8:00,9:04,261,223,64,9:15,11,26,0,0,0,0
UA,2/6/22,1979,N814UA,DEN,15:50,15:50,260,236,0,16:04,14,0,0,0,0,0
UA,2/6/22,2234,N878UA,ORD,6:45,6:44,139,137,-1,7:14,30,0,0,0,0,0
UA,2/7/22,1643,N882UA,DEN,8:00,8:13,261,236,13,8:27,14,0,0,0,0,0
UA,2/7/22,1979,N846UA,DEN,15:50,16:04,260,229,14,16:17,13,0,0,0,0,0
UA,2/7/22,2234,N445UA,ORD,6:45,6:39,139,123,-6,6:50,11,0,0,0,0,0
UA,2/8/22,1643,N836UA,DEN,8:00,8:01,261,255,1,8:26,25,0,0,0,0,0
UA,2/8/22,1979,N827UA,DEN,15:50,15:45,260,253,-5,15:57,12,0,0,0,0,0
UA,2/8/22,2234,N472UA,ORD,6:45,6:36,139,143,-9,7:10,34,0,0,0,0,0
UA,2/9/22,1643,N826UA,DEN,8:00,8:12,261,248,12,8:36,24,0,0,0,0,0
UA,2/9/22,1979,N838UA,DEN,15:50,15:42,260,242,-8,15:56,14,0,0,0,0,0
UA,2/9/22,2234,N472UA,ORD,6:45,6:49,139,133,4,7:17,28,0,0,0,0,0
UA,2/10/22,1643,N820UA,DEN,8:00,7:58,261,223,-2,8:11,13,0,0,0,0,0
UA,2/10/22,1979,N854UA,DEN,15:50,15:52,260,246,2,16:17,25,0,0,0,0,0
UA,2/10/22,2234,N424UA,ORD,6:45,6:37,139,131,-8,6:49,12,0,0,0,0,0
UA,2/11/22,1643,N35260,DEN,8:00,7:55,255,263,-5,8:21,26,0,0,0,0,0
UA,2/11/22,2234,N472UA,ORD,6:45,6:43,135,130,-2,6:56,13,0,0,0,0,0
UA,2/12/22,1643,N69804,DEN,8:00,8:09,255,233,9,8:23,14,0,0,0,0,0
UA,2/12/22,2234,N497UA,ORD,6:45,6:38,135,130,-7,6:51,13,0,0,0,0,0
UA,2/13/22,1643,N76505,DEN,8:00,7:56,255,243,-4,8:10,14,0,0,0,0,0
UA,2/13/22,2234,N33264,ORD,6:45,6:41,135,124,-4,6:55,14,0,0,0,0,0
UA,2/14/22,1643,N18220,DEN,8:00,7:55,255,253,-5,8:21,26,0,0,0,0,0
UA,2/14/22,2234,N470UA,ORD,6:45,6:40,135,146,-5,7:17,37,0,0,0,0,0
UA,2/15/22,1643,N18220,DEN,8:00,7:59,255,256,-1,8:31,32,0,0,0,0,0
UA,2/15/22,2234,N456UA,ORD,6:45,6:44,135,150,-1,7:13,29,0,0,0,0,0
UA,2/16/22,1643,N12221,DEN,8:00,8:01,255,267,1,8:20,19,0,0,0,0,0
UA,2/16/22,2234,N404UA,ORD,6:45,6:38,135,167,-7,7:24,46,0,0,25,0,0
UA,2/17/22,1643,N24224,DEN,8:00,8:09,255,272,9,8:20,11,9,0,17,0,0
UA,2/17/22,2234,N410UA,ORD,6:45,6:51,135,142,6,7:07,16,0,0,0,0,0
UA,2/18/22,1643,N33294,DEN,8:00,8:23,255,258,23,8:40,17,23,0,3,0,0
UA,2/18/22,2234,N486UA,ORD,6:45,6:44,135,142,-1,6:56,12,0,0,0,0,0
UA,2/19/22,1643,N78501,DEN,8:00,8:13,255,262,13,8:24,11,13,0,7,0,0
UA,2/19/22,2234,N828UA,ORD,6:45,9:30,135,125,165,9:42,12,155,0,0,0,0
UA,2/20/22,1643,N76515,DEN,8:00,8:04,255,261,4,8:23,19,0,0,0,0,0
UA,2/20/22,2234,N78501,ORD,6:45,6:44,135,131,-1,7:01,17,0,0,0,0,0
UA,2/21/22,1643,N37293,DEN,8:00,7:56,255,261,-4,8:09,13,0,0,0,0,0
UA,2/21/22,2234,N401UA,ORD,6:45,6:44,135,141,-1,6:55,11,0,0,0,0,0
UA,2/22/22,1643,N37293,DEN,8:00,8:03,255,287,3,8:19,16,0,0,35,0,0
UA,2/22/22,2234,N485UA,ORD,6:45,6:36,135,151,-9,6:48,12,0,0,0,0,0
UA,2/23/22,1643,N37293,DEN,8:00,8:15,255,262,15,8:26,11,15,0,7,0,0
UA,2/23/22,2234,N416UA,ORD,6:45,9:00,135,134,135,9:12,12,134,0,0,0,0
UA,2/24/22,1643,N37293,DEN,8:00,8:09,255,254,9,8:25,16,0,0,0,0,0
UA,2/24/22,2234,N428UA,ORD,6:45,6:48,135,155,3,7:15,27,0,0,23,0,0
UA,2/25/22,1643,N14231,DEN,8:00,7:59,255,257,-1,8:17,18,0,0,0,0,0
UA,2/25/22,2234,N416UA,ORD,6:45,6:44,135,135,-1,6:56,12,0,0,0,0,0
UA,2/26/22,1643,N37273,DEN,8:00,8:11,255,256,11,8:27,16,0,0,0,0,0
UA,2/26/22,2234,N813UA,ORD,6:45,6:40,135,132,-5,6:53,13,0,0,0,0,0
UA,2/27/22,1643,N33264,DEN,8:00,7:57,255,237,-3,8:10,13,0,0,0,0,0
UA,2/27/22,2234,N37273,ORD,6:45,6:37,135,129,-8,6:55,18,0,0,0,0,0
UA,2/28/22,1643,N87513,DEN,8:00,7:55,255,235,-5,8:07,12,0,0,0,0,0
UA,2/28/22,2234,,ORD,6:45,0:00,135,0,0,0:00,0,0,0,0,0,0
UA,3/1/22,1643,N18220,DEN,8:00,8:07,255,233,7,8:20,13,0,0,0,0,0
UA,3/1/22,2234,N460UA,ORD,6:45,6:44,135,148,-1,7:23,39,0,0,0,0,0
UA,3/2/22,1643,N36207,DEN,8:00,8:17,255,246,17,8:26,9,0,0,0,0,0
UA,3/2/22,2234,N494UA,ORD,6:45,6:37,135,137,-8,6:51,14,0,0,0,0,0
UA,3/3/22,1643,N13248,DEN,8:00,7:57,255,246,-3,8:11,14,0,0,0,0,0
UA,3/3/22,2234,N467UA,ORD,6:45,6:38,135,145,-7,6:58,20,0,0,0,0,0
UA,3/4/22,1643,N449UA,DEN,8:00,8:18,255,247,18,8:31,13,0,0,0,0,0
UA,3/4/22,2234,N13248,ORD,6:45,6:48,135,133,3,7:00,12,0,0,0,0,0
UA,3/5/22,1643,N446UA,DEN,8:00,8:08,255,244,8,8:19,11,0,0,0,0,0
UA,3/5/22,2234,N38257,ORD,6:45,6:53,135,135,8,7:06,13,0,0,0,0,0
